id,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,name
191504,2013,4,29,607.0,613,-6.0,912.0,935,-23.0,UA,303,N555UA,JFK,SFO,344.0,2586,6,13,2013-04-29 06:00:00,United Air Lines Inc.
290143,2013,8,11,1833.0,1836,-3.0,2211.0,2155,16.0,UA,212,N571UA,EWR,SFO,341.0,2565,18,36,2013-08-11 18:00:00,United Air Lines Inc.
307566,2013,8,30,553.0,600,-7.0,706.0,722,-16.0,UA,687,N819UA,LGA,ORD,105.0,733,6,0,2013-08-30 06:00:00,United Air Lines Inc.
228499,2013,6,7,1854.0,1900,-6.0,2246.0,2202,44.0,UA,1664,N77530,EWR,MIA,177.0,1085,19,0,2013-06-07 19:00:00,United Air Lines Inc.
97184,2013,12,16,853.0,900,-7.0,1010.0,1023,-13.0,US,2173,N770UW,LGA,DCA,51.0,214,9,0,2013-12-16 09:00:00,US Airways Inc.
59850,2013,11,5,1213.0,1215,-2.0,1343.0,1333,10.0,EV,4240,N12552,EWR,BUF,62.0,282,12,15,2013-11-05 12:00:00,ExpressJet Airlines Inc.
106032,2013,12,26,705.0,705,0.0,1155.0,1156,-1.0,B6,3,N907JB,JFK,SJU,196.0,1598,7,5,2013-12-26 07:00:00,JetBlue Airways
272348,2013,7,24,849.0,853,-4.0,1139.0,1140,-1.0,UA,1711,N73270,EWR,IAH,191.0,1400,8,53,2013-07-24 08:00:00,United Air Lines Inc.
6688,2013,1,8,1616.0,1620,-4.0,1848.0,1914,-26.0,UA,559,N411UA,EWR,MCO,139.0,937,16,20,2013-01-08 16:00:00,United Air Lines Inc.
16710,2013,1,20,950.0,1000,-10.0,1326.0,1341,-15.0,DL,1765,N624AG,JFK,SFO,366.0,2586,10,0,2013-01-20 10:00:00,Delta Air Lines Inc.
7284,2013,1,9,1009.0,1015,-6.0,1154.0,1208,-14.0,US,375,N653AW,EWR,CLT,88.0,529,10,15,2013-01-09 10:00:00,US Airways Inc.
240553,2013,6,20,1450.0,1459,-9.0,1637.0,1648,-11.0,EV,5814,N12172,EWR,CLT,78.0,529,14,59,2013-06-20 14:00:00,ExpressJet Airlines Inc.
201826,2013,5,9,2148.0,2148,0.0,20.0,100,-40.0,UA,1424,N79402,EWR,PBI,134.0,1023,21,48,2013-05-09 21:00:00,United Air Lines Inc.
98299,2013,12,17,1309.0,1315,-6.0,1519.0,1506,13.0,US,802,N171US,EWR,CLT,93.0,529,13,15,2013-12-17 13:00:00,US Airways Inc.
122923,2013,2,14,1136.0,1140,-4.0,1455.0,1445,10.0,AA,1623,N3FCAA,EWR,MIA,162.0,1085,11,40,2013-02-14 11:00:00,American Airlines Inc.
302881,2013,8,25,804.0,806,-2.0,958.0,1015,-17.0,UA,561,N537UA,LGA,DEN,208.0,1620,8,6,2013-08-25 08:00:00,United Air Lines Inc.
168255,2013,4,4,856.0,859,-3.0,1213.0,1215,-2.0,UA,1025,N15712,LGA,IAH,217.0,1416,8,59,2013-04-04 08:00:00,United Air Lines Inc.
206323,2013,5,14,1951.0,2000,-9.0,2054.0,2113,-19.0,US,2142,N953UW,LGA,BOS,40.0,184,20,0,2013-05-14 20:00:00,US Airways Inc.
152446,2013,3,18,1309.0,1310,-1.0,1639.0,1706,-27.0,UA,1708,N39418,EWR,SJU,188.0,1608,13,10,2013-03-18 13:00:00,United Air Lines Inc.
302247,2013,8,24,1046.0,1050,-4.0,1252.0,1309,-17.0,UA,628,N565UA,EWR,LAS,279.0,2227,10,50,2013-08-24 10:00:00,United Air Lines Inc.
278046,2013,7,30,758.0,800,-2.0,1001.0,954,7.0,B6,1273,N274JB,JFK,CHS,92.0,636,8,0,2013-07-30 08:00:00,JetBlue Airways
140004,2013,3,5,754.0,800,-6.0,1054.0,1116,-22.0,B6,553,N625JB,EWR,RSW,151.0,1068,8,0,2013-03-05 08:00:00,JetBlue Airways
68915,2013,11,15,557.0,600,-3.0,1019.0,1043,-24.0,B6,1403,N632JB,JFK,SJU,180.0,1598,6,0,2013-11-15 06:00:00,JetBlue Airways
197138,2013,5,5,658.0,700,-2.0,932.0,950,-18.0,DL,2285,N355NW,LGA,MCO,134.0,950,7,0,2013-05-05 07:00:00,Delta Air Lines Inc.
78730,2013,11,25,1659.0,1700,-1.0,1822.0,1819,3.0,EV,6181,N31131,EWR,IAD,49.0,212,17,0,2013-11-25 17:00:00,ExpressJet Airlines Inc.
249655,2013,6,30,756.0,800,-4.0,1050.0,1053,-3.0,B6,901,N594JB,JFK,FLL,154.0,1069,8,0,2013-06-30 08:00:00,JetBlue Airways
62501,2013,11,8,740.0,745,-5.0,1026.0,1043,-17.0,B6,1717,N547JB,LGA,TPA,150.0,1010,7,45,2013-11-08 07:00:00,JetBlue Airways
29391,2013,10,3,1304.0,1304,0.0,1541.0,1554,-13.0,UA,1641,N33132,EWR,MCO,135.0,937,13,4,2013-10-03 13:00:00,United Air Lines Inc.
140509,2013,3,5,1649.0,1650,-1.0,1805.0,1820,-15.0,AA,1790,N3HRAA,JFK,BOS,35.0,187,16,50,2013-03-05 16:00:00,American Airlines Inc.
79017,2013,11,26,552.0,600,-8.0,646.0,701,-15.0,US,2134,N764US,LGA,BOS,38.0,184,6,0,2013-11-26 06:00:00,US Airways Inc.
179253,2013,4,15,2142.0,2150,-8.0,2246.0,2255,-9.0,EV,4117,N15572,EWR,DCA,38.0,199,21,50,2013-04-15 21:00:00,ExpressJet Airlines Inc.
277126,2013,7,29,930.0,930,0.0,1230.0,1218,12.0,B6,199,N625JB,LGA,MCO,129.0,950,9,30,2013-07-29 09:00:00,JetBlue Airways
32628,2013,10,7,656.0,659,-3.0,945.0,1007,-22.0,UA,1183,N35407,EWR,RSW,148.0,1068,6,59,2013-10-07 06:00:00,United Air Lines Inc.
24021,2013,1,28,1756.0,1800,-4.0,1917.0,1915,2.0,B6,1016,N187JB,JFK,BOS,45.0,187,18,0,2013-01-28 18:00:00,JetBlue Airways
26273,2013,1,31,854.0,857,-3.0,1208.0,1209,-1.0,UA,714,N487UA,EWR,MIA,162.0,1085,8,57,2013-01-31 08:00:00,United Air Lines Inc.
110533,2013,12,31,556.0,600,-4.0,909.0,846,23.0,B6,583,N715JB,JFK,MCO,162.0,944,6,0,2013-12-31 06:00:00,JetBlue Airways
185957,2013,4,23,629.0,632,-3.0,754.0,745,9.0,B6,1305,N273JB,JFK,IAD,51.0,228,6,32,2013-04-23 06:00:00,JetBlue Airways
287060,2013,8,8,1310.0,1314,-4.0,1453.0,1505,-12.0,US,1979,N122US,EWR,CLT,80.0,529,13,14,2013-08-08 13:00:00,US Airways Inc.
290572,2013,8,12,849.0,853,-4.0,1104.0,1115,-11.0,UA,1643,N17126,EWR,DEN,227.0,1605,8,53,2013-08-12 08:00:00,United Air Lines Inc.
230512,2013,6,10,651.0,655,-4.0,1102.0,1101,1.0,DL,315,N609DL,JFK,SJU,229.0,1598,6,55,2013-06-10 06:00:00,Delta Air Lines Inc.
54360,2013,10,30,1127.0,1130,-3.0,1314.0,1332,-18.0,US,707,N178US,LGA,CLT,83.0,544,11,30,2013-10-30 11:00:00,US Airways Inc.
131451,2013,2,23,1910.0,1910,0.0,2142.0,2202,-20.0,UA,1028,N75425,EWR,LAS,310.0,2227,19,10,2013-02-23 19:00:00,United Air Lines Inc.
214418,2013,5,23,1552.0,1555,-3.0,1919.0,1813,66.0,DL,95,N329NB,JFK,DTW,107.0,509,15,55,2013-05-23 15:00:00,Delta Air Lines Inc.
243021,2013,6,23,903.0,905,-2.0,1156.0,1225,-29.0,DL,1057,N335NB,LGA,MIA,156.0,1096,9,5,2013-06-23 09:00:00,Delta Air Lines Inc.
134345,2013,2,27,529.0,530,-1.0,815.0,829,-14.0,UA,698,N494UA,LGA,IAH,207.0,1416,5,30,2013-02-27 05:00:00,United Air Lines Inc.
173827,2013,4,10,810.0,815,-5.0,949.0,1010,-21.0,US,675,N672AW,EWR,CLT,76.0,529,8,15,2013-04-10 08:00:00,US Airways Inc.
310173,2013,9,2,947.0,950,-3.0,1241.0,1310,-29.0,AA,1813,N3BAAA,LGA,MIA,156.0,1096,9,50,2013-09-02 09:00:00,American Airlines Inc.
277935,2013,7,30,628.0,630,-2.0,822.0,845,-23.0,DL,575,N310DE,EWR,ATL,98.0,746,6,30,2013-07-30 06:00:00,Delta Air Lines Inc.
29108,2013,10,3,804.0,805,-1.0,1103.0,1108,-5.0,DL,2395,N325NB,LGA,PBI,144.0,1035,8,5,2013-10-03 08:00:00,Delta Air Lines Inc.
335323,2013,9,29,1443.0,1450,-7.0,1554.0,1610,-16.0,EV,6181,N16963,EWR,IAD,47.0,212,14,50,2013-09-29 14:00:00,ExpressJet Airlines Inc.
92562,2013,12,11,654.0,655,-1.0,941.0,940,1.0,AA,1263,N3GUAA,JFK,LAS,325.0,2248,6,55,2013-12-11 06:00:00,American Airlines Inc.
325575,2013,9,18,1933.0,1940,-7.0,2112.0,2120,-8.0,AA,363,N550AA,LGA,ORD,116.0,733,19,40,2013-09-18 19:00:00,American Airlines Inc.
2163,2013,1,3,1242.0,1250,-8.0,1550.0,1550,0.0,DL,1685,N397DA,LGA,MCO,153.0,950,12,50,2013-01-03 12:00:00,Delta Air Lines Inc.
23484,2013,1,28,740.0,745,-5.0,1118.0,1125,-7.0,AA,59,N394AA,JFK,SFO,379.0,2586,7,45,2013-01-28 07:00:00,American Airlines Inc.
325677,2013,9,18,2243.0,2250,-7.0,2349.0,7,-18.0,B6,2002,N318JB,JFK,BUF,54.0,301,22,50,2013-09-18 22:00:00,JetBlue Airways
327689,2013,9,21,603.0,605,-2.0,722.0,735,-13.0,UA,654,N483UA,EWR,ORD,105.0,719,6,5,2013-09-21 06:00:00,United Air Lines Inc.
302951,2013,8,25,910.0,915,-5.0,1146.0,1231,-45.0,DL,2379,N994DL,LGA,FLL,139.0,1076,9,15,2013-08-25 09:00:00,Delta Air Lines Inc.
325469,2013,9,18,1754.0,1800,-6.0,1900.0,1915,-15.0,US,2191,N767UW,LGA,DCA,46.0,214,18,0,2013-09-18 18:00:00,US Airways Inc.
155234,2013,3,21,1059.0,1100,-1.0,1418.0,1414,4.0,DL,930,N952DL,LGA,FLL,156.0,1076,11,0,2013-03-21 11:00:00,Delta Air Lines Inc.
74516,2013,11,21,655.0,700,-5.0,756.0,809,-13.0,US,2169,N741UW,LGA,DCA,42.0,214,7,0,2013-11-21 07:00:00,US Airways Inc.
307392,2013,8,29,1902.0,1903,-1.0,2055.0,2109,-14.0,EV,5795,N11119,EWR,CLT,76.0,529,19,3,2013-08-29 19:00:00,ExpressJet Airlines Inc.
22965,2013,1,27,1511.0,1515,-4.0,1808.0,1807,1.0,UA,1205,N67052,EWR,IAH,209.0,1400,15,15,2013-01-27 15:00:00,United Air Lines Inc.
28827,2013,10,2,1927.0,1930,-3.0,2237.0,2240,-3.0,DL,2370,N338NB,LGA,PBI,138.0,1035,19,30,2013-10-02 19:00:00,Delta Air Lines Inc.
66268,2013,11,12,1028.0,1030,-2.0,1335.0,1335,0.0,AA,179,N335AA,JFK,SFO,336.0,2586,10,30,2013-11-12 10:00:00,American Airlines Inc.
121955,2013,2,13,1053.0,1100,-7.0,1206.0,1214,-8.0,US,2171,N701UW,LGA,DCA,51.0,214,11,0,2013-02-13 11:00:00,US Airways Inc.
148066,2013,3,13,1714.0,1719,-5.0,1949.0,1948,1.0,UA,509,N516UA,LGA,DEN,228.0,1620,17,19,2013-03-13 17:00:00,United Air Lines Inc.
255849,2013,7,7,756.0,800,-4.0,1047.0,1104,-17.0,B6,1511,N760JB,EWR,RSW,146.0,1068,8,0,2013-07-07 08:00:00,JetBlue Airways
5454,2013,1,7,1015.0,1015,0.0,1202.0,1216,-14.0,US,1427,N751UW,JFK,CLT,84.0,541,10,15,2013-01-07 10:00:00,US Airways Inc.
202128,2013,5,10,919.0,923,-4.0,1059.0,1126,-27.0,EV,4229,N15985,EWR,CLT,77.0,529,9,23,2013-05-10 09:00:00,ExpressJet Airlines Inc.
61673,2013,11,7,959.0,1000,-1.0,1228.0,1245,-17.0,DL,1847,N949DL,LGA,ATL,125.0,762,10,0,2013-11-07 10:00:00,Delta Air Lines Inc.
167233,2013,4,3,827.0,835,-8.0,1118.0,1135,-17.0,AA,717,N3BCAA,LGA,DFW,207.0,1389,8,35,2013-04-03 08:00:00,American Airlines Inc.
159026,2013,3,25,1501.0,1505,-4.0,1738.0,1820,-42.0,AA,759,N3KEAA,LGA,DFW,199.0,1389,15,5,2013-03-25 15:00:00,American Airlines Inc.
320232,2013,9,13,639.0,641,-2.0,752.0,810,-18.0,UA,1262,N76516,EWR,ORD,111.0,719,6,41,2013-09-13 06:00:00,United Air Lines Inc.
277927,2013,7,30,623.0,630,-7.0,902.0,923,-21.0,UA,712,N505UA,JFK,LAX,317.0,2475,6,30,2013-07-30 06:00:00,United Air Lines Inc.
302371,2013,8,24,1340.0,1347,-7.0,1635.0,1641,-6.0,DL,1685,N906DE,LGA,MCO,130.0,950,13,47,2013-08-24 13:00:00,Delta Air Lines Inc.
194605,2013,5,2,855.0,900,-5.0,1002.0,1019,-17.0,US,2120,N950UW,LGA,BOS,39.0,184,9,0,2013-05-02 09:00:00,US Airways Inc.
181068,2013,4,17,1928.0,1935,-7.0,2230.0,2256,-26.0,DL,1433,N364NB,LGA,RSW,157.0,1080,19,35,2013-04-17 19:00:00,Delta Air Lines Inc.
67184,2013,11,13,920.0,930,-10.0,1227.0,1221,6.0,B6,199,N639JB,LGA,MCO,137.0,950,9,30,2013-11-13 09:00:00,JetBlue Airways
252061,2013,7,2,1655.0,1700,-5.0,1834.0,1845,-11.0,UA,689,N851UA,LGA,ORD,116.0,733,17,0,2013-07-02 17:00:00,United Air Lines Inc.
139177,2013,3,4,1008.0,1014,-6.0,1246.0,1312,-26.0,UA,1553,N78509,EWR,TPA,140.0,997,10,14,2013-03-04 10:00:00,United Air Lines Inc.
119035,2013,2,10,656.0,700,-4.0,1012.0,1026,-14.0,B6,671,N644JB,JFK,LAX,352.0,2475,7,0,2013-02-10 07:00:00,JetBlue Airways
133463,2013,2,26,628.0,630,-2.0,903.0,859,4.0,DL,1899,N302NB,LGA,MSY,187.0,1183,6,30,2013-02-26 06:00:00,Delta Air Lines Inc.
304644,2013,8,27,538.0,545,-7.0,837.0,855,-18.0,AA,701,N3JFAA,JFK,MIA,143.0,1089,5,45,2013-08-27 05:00:00,American Airlines Inc.
135414,2013,2,28,744.0,750,-6.0,923.0,1004,-41.0,DL,2119,N358NW,LGA,MSP,137.0,1020,7,50,2013-02-28 07:00:00,Delta Air Lines Inc.
167062,2013,4,3,559.0,600,-1.0,700.0,708,-8.0,B6,380,N179JB,EWR,BOS,38.0,200,6,0,2013-04-03 06:00:00,JetBlue Airways
48640,2013,10,24,807.0,810,-3.0,1104.0,1111,-7.0,DL,1167,N310DE,JFK,TPA,158.0,1005,8,10,2013-10-24 08:00:00,Delta Air Lines Inc.
138277,2013,3,3,1143.0,1145,-2.0,1345.0,1402,-17.0,DL,401,N303DQ,EWR,ATL,107.0,746,11,45,2013-03-03 11:00:00,Delta Air Lines Inc.
217935,2013,5,27,1618.0,1629,-11.0,1917.0,1927,-10.0,B6,985,N504JB,LGA,TPA,139.0,1010,16,29,2013-05-27 16:00:00,JetBlue Airways
278157,2013,7,30,950.0,959,-9.0,1237.0,1237,0.0,B6,483,N633JB,JFK,MCO,125.0,944,9,59,2013-07-30 09:00:00,JetBlue Airways
162801,2013,3,29,1140.0,1140,0.0,1452.0,1445,7.0,AA,1623,N3EKAA,EWR,MIA,159.0,1085,11,40,2013-03-29 11:00:00,American Airlines Inc.
335801,2013,9,30,557.0,600,-3.0,654.0,721,-27.0,UA,1198,N23721,LGA,ORD,101.0,733,6,0,2013-09-30 06:00:00,United Air Lines Inc.
137992,2013,3,3,606.0,610,-4.0,904.0,918,-14.0,B6,135,N806JB,JFK,RSW,161.0,1074,6,10,2013-03-03 06:00:00,JetBlue Airways
293996,2013,8,15,1632.0,1635,-3.0,1910.0,1944,-34.0,B6,423,N568JB,JFK,LAX,313.0,2475,16,35,2013-08-15 16:00:00,JetBlue Airways
180404,2013,4,17,753.0,800,-7.0,1039.0,1118,-39.0,DL,269,N934DL,JFK,MIA,138.0,1089,8,0,2013-04-17 08:00:00,Delta Air Lines Inc.
224141,2013,6,3,954.0,1000,-6.0,1304.0,1246,18.0,B6,65,N527JB,JFK,TPA,144.0,1005,10,0,2013-06-03 10:00:00,JetBlue Airways
330092,2013,9,23,1854.0,1900,-6.0,1959.0,2014,-15.0,US,2160,N957UW,LGA,BOS,41.0,184,19,0,2013-09-23 19:00:00,US Airways Inc.
81269,2013,11,28,952.0,1000,-8.0,1238.0,1245,-7.0,B6,411,N615JB,JFK,LAS,317.0,2248,10,0,2013-11-28 10:00:00,JetBlue Airways
324352,2013,9,17,1539.0,1550,-11.0,1731.0,1753,-22.0,EV,4667,N13979,EWR,MSP,147.0,1008,15,50,2013-09-17 15:00:00,ExpressJet Airlines Inc.
35692,2013,10,10,845.0,850,-5.0,953.0,1006,-13.0,DL,2445,N315NB,JFK,BOS,39.0,187,8,50,2013-10-10 08:00:00,Delta Air Lines Inc.
70580,2013,11,16,2224.0,2229,-5.0,2331.0,2343,-12.0,B6,234,N375JB,JFK,BTV,42.0,266,22,29,2013-11-16 22:00:00,JetBlue Airways
140761,2013,3,5,2128.0,2138,-10.0,25.0,29,-4.0,B6,383,N607JB,LGA,FLL,156.0,1076,21,38,2013-03-05 21:00:00,JetBlue Airways
62399,2013,11,8,558.0,600,-2.0,903.0,905,-2.0,AA,1175,N3EWAA,LGA,MIA,150.0,1096,6,0,2013-11-08 06:00:00,American Airlines Inc.
223233,2013,6,2,1027.0,1030,-3.0,1236.0,1243,-7.0,DL,2343,N310DE,EWR,ATL,104.0,746,10,30,2013-06-02 10:00:00,Delta Air Lines Inc.
236392,2013,6,16,957.0,1008,-11.0,1223.0,1253,-30.0,UA,279,N488UA,EWR,TPA,134.0,997,10,8,2013-06-16 10:00:00,United Air Lines Inc.
72290,2013,11,18,1853.0,1900,-7.0,2102.0,2043,19.0,UA,223,N458UA,EWR,ORD,119.0,719,19,0,2013-11-18 19:00:00,United Air Lines Inc.
27688,2013,10,1,1654.0,1659,-5.0,1908.0,1930,-22.0,EV,4705,N27962,EWR,ATL,101.0,746,16,59,2013-10-01 16:00:00,ExpressJet Airlines Inc.
52170,2013,10,28,730.0,730,0.0,1123.0,1120,3.0,B6,1289,N646JB,EWR,SJU,208.0,1608,7,30,2013-10-28 07:00:00,JetBlue Airways
71992,2013,11,18,1439.0,1440,-1.0,1620.0,1639,-19.0,DL,1231,N335NB,LGA,DTW,82.0,502,14,40,2013-11-18 14:00:00,Delta Air Lines Inc.
221619,2013,5,31,1223.0,1228,-5.0,1332.0,1347,-15.0,B6,66,N353JB,JFK,BUF,52.0,301,12,28,2013-05-31 12:00:00,JetBlue Airways
177431,2013,4,14,701.0,705,-4.0,936.0,951,-15.0,DL,2285,N688DL,LGA,MCO,136.0,950,7,5,2013-04-14 07:00:00,Delta Air Lines Inc.
284051,2013,8,5,1253.0,1257,-4.0,1453.0,1457,-4.0,US,2079,N161UW,LGA,CLT,77.0,544,12,57,2013-08-05 12:00:00,US Airways Inc.
79264,2013,11,26,920.0,930,-10.0,1200.0,1221,-21.0,B6,199,N587JB,LGA,MCO,145.0,950,9,30,2013-11-26 09:00:00,JetBlue Airways
276505,2013,7,28,1555.0,1559,-4.0,,1736,,EV,5841,N16149,EWR,STL,,872,15,59,2013-07-28 15:00:00,ExpressJet Airlines Inc.
158827,2013,3,25,1029.0,1035,-6.0,1322.0,1404,-42.0,B6,641,N590JB,JFK,SFO,333.0,2586,10,35,2013-03-25 10:00:00,JetBlue Airways
106817,2013,12,26,2052.0,2055,-3.0,2200.0,2213,-13.0,DL,2599,N924DL,JFK,BOS,36.0,187,20,55,2013-12-26 20:00:00,Delta Air Lines Inc.
51274,2013,10,27,823.0,825,-2.0,1051.0,1121,-30.0,UA,1197,N75426,EWR,MCO,134.0,937,8,25,2013-10-27 08:00:00,United Air Lines Inc.
140964,2013,3,6,755.0,800,-5.0,951.0,1004,-13.0,B6,1273,N281JB,JFK,CHS,95.0,636,8,0,2013-03-06 08:00:00,JetBlue Airways
174042,2013,4,10,1159.0,1200,-1.0,1317.0,1310,7.0,US,2126,N944UW,LGA,BOS,37.0,184,12,0,2013-04-10 12:00:00,US Airways Inc.
59836,2013,11,5,1200.0,1200,0.0,1251.0,1309,-18.0,US,2146,N951UW,LGA,BOS,36.0,184,12,0,2013-11-05 12:00:00,US Airways Inc.
178389,2013,4,15,706.0,714,-8.0,831.0,829,2.0,B6,1932,N663JB,JFK,BOS,32.0,187,7,14,2013-04-15 07:00:00,JetBlue Airways
189908,2013,4,27,800.0,800,0.0,950.0,959,-9.0,B6,219,N353JB,JFK,CLT,80.0,541,8,0,2013-04-27 08:00:00,JetBlue Airways
284970,2013,8,6,1117.0,1125,-8.0,1355.0,1414,-19.0,UA,703,N595UA,JFK,LAX,308.0,2475,11,25,2013-08-06 11:00:00,United Air Lines Inc.
13225,2013,1,16,756.0,800,-4.0,1107.0,1125,-18.0,UA,397,N532UA,JFK,SFO,353.0,2586,8,0,2013-01-16 08:00:00,United Air Lines Inc.
267054,2013,7,18,1656.0,1659,-3.0,1827.0,1825,2.0,UA,244,N802UA,EWR,BOS,42.0,200,16,59,2013-07-18 16:00:00,United Air Lines Inc.
187864,2013,4,25,600.0,600,0.0,745.0,745,0.0,WN,3938,N213WN,LGA,STL,140.0,888,6,0,2013-04-25 06:00:00,Southwest Airlines Co.
113150,2013,2,3,1140.0,1140,0.0,1446.0,1450,-4.0,DL,930,N339NB,LGA,FLL,145.0,1076,11,40,2013-02-03 11:00:00,Delta Air Lines Inc.
193934,2013,5,1,1448.0,1455,-7.0,1724.0,1805,-41.0,AA,759,N3BXAA,LGA,DFW,179.0,1389,14,55,2013-05-01 14:00:00,American Airlines Inc.
13760,2013,1,16,1819.0,1820,-1.0,2105.0,2115,-10.0,B6,711,N805JB,JFK,LAS,324.0,2248,18,20,2013-01-16 18:00:00,JetBlue Airways
15046,2013,1,18,727.0,730,-3.0,947.0,1004,-17.0,DL,807,N322NB,EWR,ATL,112.0,746,7,30,2013-01-18 07:00:00,Delta Air Lines Inc.
5583,2013,1,7,1259.0,1259,0.0,1553.0,1556,-3.0,B6,991,N339JB,JFK,PBI,153.0,1028,12,59,2013-01-07 12:00:00,JetBlue Airways
36196,2013,10,10,1800.0,1800,0.0,2042.0,2103,-21.0,B6,263,N535JB,JFK,SEA,317.0,2422,18,0,2013-10-10 18:00:00,JetBlue Airways
295361,2013,8,17,608.0,615,-7.0,901.0,910,-9.0,AA,1895,N3GWAA,EWR,MIA,155.0,1085,6,15,2013-08-17 06:00:00,American Airlines Inc.
265460,2013,7,17,628.0,635,-7.0,840.0,826,14.0,US,1032,N151UW,EWR,CLT,73.0,529,6,35,2013-07-17 06:00:00,US Airways Inc.
14463,2013,1,17,1400.0,1400,0.0,1639.0,1636,3.0,DL,2247,N6710E,LGA,ATL,129.0,762,14,0,2013-01-17 14:00:00,Delta Air Lines Inc.
233070,2013,6,12,1659.0,1700,-1.0,1938.0,1938,0.0,DL,1499,N344NW,LGA,ATL,102.0,762,17,0,2013-06-12 17:00:00,Delta Air Lines Inc.
143848,2013,3,9,744.0,747,-3.0,1215.0,1243,-28.0,UA,1274,N14120,EWR,SJU,185.0,1608,7,47,2013-03-09 07:00:00,United Air Lines Inc.
10986,2013,1,13,1655.0,1700,-5.0,2138.0,2204,-26.0,DL,329,N3762Y,JFK,SJU,192.0,1598,17,0,2013-01-13 17:00:00,Delta Air Lines Inc.
17113,2013,1,20,1757.0,1800,-3.0,2004.0,2006,-2.0,US,373,N549UW,JFK,CLT,93.0,541,18,0,2013-01-20 18:00:00,US Airways Inc.
54456,2013,10,30,1321.0,1325,-4.0,1631.0,1623,8.0,UA,1054,N17128,EWR,LAX,335.0,2454,13,25,2013-10-30 13:00:00,United Air Lines Inc.
324278,2013,9,17,1444.0,1450,-6.0,1627.0,1652,-25.0,US,1995,N562UW,LGA,CLT,79.0,544,14,50,2013-09-17 14:00:00,US Airways Inc.
